TXNAME	GENEID	R2_HCC827	R3_HCC827	R1_HCC827	R3_H1975	R1_H1975	R2_H1975
ENST00000394920	ENSG00000161016	1471	2159	2187	533	591	626
ENST00000394921	ENSG00000291092	0	1	0	1	1	0
ENST00000394933	ENSG00000160606	10	9	11	40	37	23
ENST00000394936	ENSG00000197746	0	0.00031	0.00031	0.00043	6e-04	0
ENST00000394938	ENSG00000198242	52.99992	80	71	229	233	195
ENST00000394942	ENSG00000140006	0	0	0	2	1	0
ENST00000394943	ENSG00000050405	1.5	3.7126	2.73967	3.00913	0.49503	0.89967
ENST00000394947	ENSG00000169375	0	0	0.5	0	0	0
ENST00000394950	ENSG00000103507	103	235	134	117	144	168
ENST00000394955	ENSG00000167701	0	1	0	0	0	0
ENST00000394957	ENSG00000107738	69	156.99999	107.91973	76	84	93
ENST00000394963	ENSG00000066117	11.48518	14.72376	15.14504	7.27243	9.81513	23
ENST00000394965	ENSG00000023330	2	4	2	7	9	8
ENST00000394970	ENSG00000164087	58.85164	98.55851	109	41	55.48203	66.64508
ENST00000394971	ENSG00000167397	2	4	0	3	3	0
ENST00000394975	ENSG00000167397	1556	2147	2361	3269	3852	3958
ENST00000394976	ENSG00000181904	163	181	274	340	413	367
ENST00000394979	ENSG00000167395	41	20.04993	39	30	29.68059	47
ENST00000394987	ENSG00000167173	2	2	4	1	1	1
ENST00000394990	ENSG00000186577	19	28	26	32	60	40
ENST00000395002	ENSG00000138640	0	0	0	0	4	2
ENST00000395003	ENSG00000043143	0	0	0	0	2	0
ENST00000395006	ENSG00000139644	1.0896	0	0.22271	0	0	0
ENST00000395008	ENSG00000114779	25	93	71	47	58	36
ENST00000395009	ENSG00000237190	27	15	24	4	3	6
ENST00000395010	ENSG00000172731	2	5	7	0	0	1
ENST00000395023	ENSG00000081059	0	0	0	2	1	1
ENST00000395042	ENSG00000171700	3.97272	11	8	25.84154	14	16
ENST00000395047	ENSG00000213585	1287.80163	893.60241	2456.36346	2713.00945	3408.24876	3556.21992
ENST00000395048	ENSG00000140465	2	8	5	0	0	0
ENST00000395057	ENSG00000164081	1	1	3	5	8	15
ENST00000395064	ENSG00000213588	24	68	47	46	34	60
ENST00000395065	ENSG00000147206	0	0	0	2	2	0
ENST00000395066	ENSG00000179335	106.5	180	135.5	117.5	128	132
ENST00000395067	ENSG00000066697	40	107	117	137	179	141
ENST00000395068	ENSG00000178719	90	225	115	181	200	287
ENST00000395069	ENSG00000178401	7.55687	10	27	0.69691	1	0.74291
ENST00000395074	ENSG00000110031	2	4	2	15	24	18
ENST00000395076	ENSG00000100614	3	8	6	21	19	31.05875
ENST00000395080	ENSG00000118785	1	5	4	112	165	118
ENST00000395081	ENSG00000138629	153.97982	225.5	212.95919	361.74152	613.99998	304
ENST00000395082	ENSG00000213590	7	0	1	0	1	0
ENST00000395091	ENSG00000169951	2	1	1	0	0.66667	1.5
ENST00000395094	ENSG00000169955	0	0	0	2.5	0	0
ENST00000395098	ENSG00000122958	4	3	2	27	20	24
ENST00000395104	ENSG00000130584	0	0	0	0	0	1
ENST00000395105	ENSG00000137868	1	0	0	0	0	0
ENST00000395111	ENSG00000141905	48	44	58	105	158	156
ENST00000395116	ENSG00000181619	0	0	0	14	11	10
ENST00000395117	ENSG00000068028	0	0	0	9	0	10
ENST00000395119	ENSG00000104529	5171.5	6624.26515	6917	142.93974	5037.5	4649
ENST00000395120	ENSG00000186907	0	0	0	0	1	0
ENST00000395123	ENSG00000134802	0	0	0	3	1	2
ENST00000395124	ENSG00000134802	21	66	58	45	53	48
ENST00000395126	ENSG00000068028	0	1	0	0	0	0
ENST00000395131	ENSG00000204220	114	148	190	189	227	195
ENST00000395135	ENSG00000140464	72	117	74	61	70	89
ENST00000395136	ENSG00000116754	1	0	0	0.98204	1.98595	0
ENST00000395138	ENSG00000261052	24	32	38	2	7	10
ENST00000395139	ENSG00000068001	129.84716	285	219	284	335.02897	402
ENST00000395143	ENSG00000114378	0	1	1	2	4	1
ENST00000395144	ENSG00000114378	1	2	2	17	11	18
ENST00000395145	ENSG00000165215	1446	1687	1470	263	257	303
ENST00000395147	ENSG00000106077	34	32	28	114	112	165
ENST00000395148	ENSG00000003402	40	51	37	32	35	20
ENST00000395159	ENSG00000100575	11	24	39	148	143	144
ENST00000395176	ENSG00000176410	540	567	542	641	748	702
ENST00000395181	ENSG00000213601	1	1	0	0	0	0
ENST00000395183	ENSG00000138639	0	1	3	4	6	4
ENST00000395184	ENSG00000138639	0	0	0	1	0	0
ENST00000395198	ENSG00000148634	0	1	0	5	3	1
ENST00000395205	ENSG00000140463	0	0	0	2	0	0
ENST00000395216	ENSG00000197162	4	6	3.96731	4	6	2
ENST00000395224	ENSG00000149922	2	3	2	0	2	2
ENST00000395226	ENSG00000138678	1	4	5	4	4	8
ENST00000395236	ENSG00000106305	131	198	190	310	320	329
ENST00000395238	ENSG00000176095	2	1	0	8	1	12
ENST00000395240	ENSG00000149925	39	65	40	43	74	59
ENST00000395243	ENSG00000109113	24.35848	1.222	16.50462	3.81124	59.55041	79.26344
ENST00000395245	ENSG00000109113	532	739	647	623	619	652
ENST00000395246	ENSG00000158985	0	0	2	2	3	7
ENST00000395254	ENSG00000138311	0	2	0	0	3	2.99892
ENST00000395255	ENSG00000138311	0	0	0	0	1	0
ENST00000395256	ENSG00000213613	0	1	1	1	0	1
ENST00000395260	ENSG00000182010	120.89416	179.98116	255.36957	49.47846	70.82075	76.29902
ENST00000395284	ENSG00000170312	263	635	550	1081	1286	1114
ENST00000395285	ENSG00000101199	1	1	0	0	0	0
ENST00000395288	ENSG00000123444	3	7	7	11	11	14
ENST00000395303	ENSG00000204257	9.99999	34	30	18	15	14
ENST00000395305	ENSG00000204257	0	24.62311	0	0	23.70954	17.42044
ENST00000395314	ENSG00000126777	1	0	0	0	0	3
ENST00000395319	ENSG00000109107	0	0	1	0	0	1
ENST00000395321	ENSG00000109107	8.05693	15.99999	7	30.86243	89.99998	63.99998
ENST00000395323	ENSG00000213626	9	15	22	198	264	234
ENST00000395326	ENSG00000241258	201	227	371	501	512	481
ENST00000395330	ENSG00000240065	0	0	1	3	1	0
ENST00000395331	ENSG00000126522	1.68253	1.75802	2.52823	15.54423	15.26496	12.484
ENST00000395332	ENSG00000126522	104.96434	298.66311	122.37317	12.70018	101.3188	4.34159
ENST00000395334	ENSG00000162433	4	3	0	9	7.89031	16
ENST00000395343	ENSG00000101191	0	0	0	0	1	0
ENST00000395344	ENSG00000110514	0	0	0	0	0	1
ENST00000395346	ENSG00000087111	22	48	53	59	81	74
ENST00000395348	ENSG00000165449	0	0	0	4	3	5
ENST00000395353	ENSG00000013364	57	161	88	132	179	168
ENST00000395358	ENSG00000079337	0	2.15599	2.40992	1.24293	0.1993	0
ENST00000395366	ENSG00000213639	20	59.5	62	173	186	205.5
ENST00000395374	ENSG00000129292	2	0	0	0	0	0
ENST00000395375	ENSG00000198039	1	6	9	23	38	31
ENST00000395383	ENSG00000129292	0	0	0	1	0	0
ENST00000395388	ENSG00000204287	14	39	0	0	0	0
ENST00000395391	ENSG00000196247	0	0	3	8	2	3
ENST00000395395	ENSG00000175787	6	5	0	0.91873	1.01415	3
ENST00000395397	ENSG00000025434	34	81	61	30	40	38
ENST00000395400	ENSG00000260280	0	0	1	2	2	5
ENST00000395405	ENSG00000122952	17	8	0.07109	15	20	8
ENST00000395407	ENSG00000137819	3	3	3	8	11	6
ENST00000395418	ENSG00000109083	152	294	372	1099	1231	1051
ENST00000395422	ENSG00000106153	37308.47368	89564.18862	47904.68577	31299.26392	36398.85609	32487.87434
ENST00000395425	ENSG00000126787	2	8	20	6	9	8
ENST00000395439	ENSG00000213653	0	0	1	0	0	0
ENST00000395443	ENSG00000198218	8	16	12	25	23	37
ENST00000395451	ENSG00000064652	0	0	0	8	3	5
ENST00000395453	ENSG00000139218	6	32	37	49	40	55
ENST00000395454	ENSG00000139218	0	2	0	4	0	1
ENST00000395456	ENSG00000213658	0	0	1	0	0	1
ENST00000395458	ENSG00000178057	0	0	0	0	0	1
ENST00000395460	ENSG00000149179	0.56107	1.15575	1.75324	1.18669	2.02838	3.08944
ENST00000395463	ENSG00000129007	0	0	0	0	3	0
ENST00000395471	ENSG00000146733	51	99	127	27	48	52
ENST00000395472	ENSG00000180008	22	17	36	48	52	42.99999
ENST00000395473	ENSG00000168961	11	47	35	9	13	14
ENST00000395474	ENSG00000178252	17.77849	0.68719	13.66667	0.58826	0.16536	45
ENST00000395476	ENSG00000137764	4	2	3	12	8	13
ENST00000395479	ENSG00000115255	0	0.7638	0	0	0.16683	0
ENST00000395491	ENSG00000034152	3	11	13	12	13	11
ENST00000395497	ENSG00000204310	0	2	1	1	3	0
ENST00000395499	ENSG00000204310	5	6	13	21	18	34
ENST00000395505	ENSG00000127081	0	0	0	5	5	4
ENST00000395510	ENSG00000151239	87	247	216	598	648	716
ENST00000395511	ENSG00000109016	315	612	530	473	460	429
ENST00000395514	ENSG00000131979	0	0	0	1	0	2
ENST00000395519	ENSG00000213671	0	0	0	1	0	0
ENST00000395522	ENSG00000128487	0	0	5	6	9	6
ENST00000395525	ENSG00000128487	5	8	11	12	19	19
ENST00000395530	ENSG00000128487	3	9	21	15	19	23
ENST00000395535	ENSG00000132432	1590.50132	2357.49165	6103.55206	2301.05683	2501.76595	2546.07612
ENST00000395536	ENSG00000108599	1	1	0	0	1	2
ENST00000395539	ENSG00000224281	0	9	7	7	8	1
ENST00000395540	ENSG00000106078	0	0	1	2	0	3
ENST00000395542	ENSG00000106078	0	1	0	0	0	0
ENST00000395548	ENSG00000177879	1	7	8	21	32	31
ENST00000395550	ENSG00000225697	0.5	4.58196	0	0	0	0
ENST00000395556	ENSG00000132436	3	2	4	9	6	8
ENST00000395560	ENSG00000183696	1581.30012	2123.83359	2066.06994	2335.17332	2435.17142	2371.61834
ENST00000395564	ENSG00000183696	1111.48773	1898.54576	1486.13449	4793.97131	5045.89777	4710.8057
ENST00000395565	ENSG00000110492	108	176	167	56	68	76
ENST00000395566	ENSG00000110492	5590.36556	8010.97719	8211.84003	3127.99987	3167.99988	2975.94315
ENST00000395569	ENSG00000110492	10	24	21	0	3	8
ENST00000395573	ENSG00000100528	7	19	25	26	39	25
ENST00000395575	ENSG00000072210	0	1	0	5	6	4
ENST00000395580	ENSG00000134283	30	41	38	38	71.55012	59
ENST00000395587	ENSG00000184110	8	22	18	29	32	37
ENST00000395589	ENSG00000174446	9.5	21.95073	4.96202	35	27	32
ENST00000395590	ENSG00000079974	0	0	2	0	0	0
ENST00000395598	ENSG00000079974	2.69276	3	3.6901	0	4.40546	13
ENST00000395602	ENSG00000166484	9	15	11	3	4	12
ENST00000395604	ENSG00000166484	2	5	3	7	5	6
ENST00000395611	ENSG00000107643	0	0	1	4	7	3
ENST00000395613	ENSG00000213683	2	0	1	2	3	3
ENST00000395616	ENSG00000108641	27	21	21	4	10	9
ENST00000395618	ENSG00000072134	0	2	1	0	0	1
ENST00000395619	ENSG00000100299	3	8	8	2	6	3
ENST00000395621	ENSG00000100299	2	3	4	5	2	3
ENST00000395628	ENSG00000072134	0	0	0	0	0.90696	0
ENST00000395630	ENSG00000197165	0	0	0	1	0.84979	0
ENST00000395633	ENSG00000099624	3316	3733	2401	2334	3948	3661
ENST00000395640	ENSG00000138764	0	0	0	0	0	0.39898
ENST00000395641	ENSG00000176046	69	72	106	351	346	337
ENST00000395648	ENSG00000175274	0	0	0	2	0	1
ENST00000395655	ENSG00000136270	6	31	5	17	24	33
ENST00000395659	ENSG00000124172	114.5266	116.67382	118.64509	0.05191	0.24645	0.05139
ENST00000395663	ENSG00000124172	0	5	5	7	9	4
ENST00000395673	ENSG00000151348	0	1	0	2	4	2
ENST00000395675	ENSG00000240445	0	0	0	0	1	1
ENST00000395678	ENSG00000025708	6.5	0	1	50.99998	36.78787	32.20182
ENST00000395680	ENSG00000025708	0	1	0	0	0	1
ENST00000395681	ENSG00000025708	0	1	1	0	1	2
ENST00000395682	ENSG00000176974	0	0	0	0.0521	0	0
ENST00000395684	ENSG00000176974	0.53558	0.06109	0.06723	0.34385	0.4413	0.39136
ENST00000395693	ENSG00000284194	2139	1276	1303.5	755.62872	719.5	802
ENST00000395694	ENSG00000164051	42	157.65935	96.5	123.5	129	134
ENST00000395698	ENSG00000025770	0.07319	0.40666	0.60244	2.85895	1.78768	2.4921
ENST00000395699	ENSG00000146676	187	92	232	373	375	290
ENST00000395700	ENSG00000149084	5	10	14	3	14	3
ENST00000395701	ENSG00000025770	0	0	0.04927	0	0.04116	0.04374
ENST00000395704	ENSG00000177427	0	1	0	3	2	1
ENST00000395705	ENSG00000175029	0	0	0	0	1	0
ENST00000395706	ENSG00000177427	0	1	1	4	1	3
ENST00000395710	ENSG00000198301	4	13	14	12	11	6
ENST00000395711	ENSG00000198301	0	0	0	1	0	0
ENST00000395715	ENSG00000104447	0	0	0	0	1	0
ENST00000395718	ENSG00000139926	1	6	4	14	12	9
ENST00000395719	ENSG00000138757	0	0	0	1	0	0
ENST00000395722	ENSG00000204179	1	0	0	0	0	0
ENST00000395726	ENSG00000108591	30	70	45	14	22	21
ENST00000395728	ENSG00000204371	0	1.24502	3	0.95525	0	0
ENST00000395733	ENSG00000100253	0	1	0	0	0	0
ENST00000395734	ENSG00000047849	0	0	0	0	1	0
ENST00000395738	ENSG00000128165	1	9	4	5	10	3
ENST00000395739	ENSG00000175662	0	0	0	0	1e-05	1.6459
ENST00000395743	ENSG00000174808	4	8	6	4	5	5
ENST00000395745	ENSG00000132153	0	3	2	3	3	5
ENST00000395748	ENSG00000109321	417	922	900	823	551	824
ENST00000395754	ENSG00000103522	0	0	0	1	0	2
ENST00000395758	ENSG00000151746	0	0	0	1	0	0
ENST00000395761	ENSG00000163739	360	905	796	931	812	848
ENST00000395762	ENSG00000077238	1	4	4	7	13	11
ENST00000395763	ENSG00000139160	16	14	11	24	17	5
ENST00000395764	ENSG00000185386	0	1	0	0	1	0
ENST00000395777	ENSG00000169435	1	1	1	3	2	4
ENST00000395780	ENSG00000188130	2	1	0	1	0	0.98736
ENST00000395781	ENSG00000133027	8	8	7	0	1	2
ENST00000395785	ENSG00000147654	23	35	55	80	68	76
ENST00000395787	ENSG00000149089	0	1	0	523.97466	498.47288	540.26468
ENST00000395788	ENSG00000204387	120.80423	8e-05	0	1e-04	2e-05	0.00012
ENST00000395797	ENSG00000169740	7	20	15	36	33	49
ENST00000395802	ENSG00000124164	0	12	5	15	13	13
ENST00000395806	ENSG00000133030	9	5	8	5	6	3
ENST00000395807	ENSG00000133030	8	7	5	5	3	3
ENST00000395808	ENSG00000175221	112	255	132	138	168	171
ENST00000395810	ENSG00000198915	0.93645	7	4.46406	0.32613	0.5	0.5
ENST00000395811	ENSG00000133030	1	0	0	0	0	0
ENST00000395812	ENSG00000310517	0	0	0	3	0.91849	7
ENST00000395813	ENSG00000310517	0	0	0	1	2	1
ENST00000395816	ENSG00000124225	11	11	16	53	40	45
ENST00000395822	ENSG00000124256	0	0	0	0	1	0
ENST00000395824	ENSG00000141040	3	0	3	8	5	12
ENST00000395825	ENSG00000141040	26	73	78	223	220	279
ENST00000395827	ENSG00000170638	16	21	16	32	36	35
ENST00000395829	ENSG00000170638	0	0	0	6	6	4
ENST00000395831	ENSG00000122678	1	2	1	1	0	0
ENST00000395834	ENSG00000100490	0	0	0	3	3	7
ENST00000395837	ENSG00000170315	23	27	42	27	44	34
ENST00000395839	ENSG00000170315	0.00079	18.72949	0.00091	97.29664	23.37424	0.00064
ENST00000395840	ENSG00000101146	0	0	0	0	2	0
ENST00000395841	ENSG00000101146	400	766	794	827	884	1085
ENST00000395842	ENSG00000073150	0	0	0	0	1	1
ENST00000395844	ENSG00000108474	8	16	16	18	14	26
ENST00000395845	ENSG00000138092	0	0	1	0	0	0
ENST00000395850	ENSG00000085063	0	0	2	0	0	3
ENST00000395859	ENSG00000100483	1	7	4	22	12	20
ENST00000395860	ENSG00000100483	9	11	15	22	29	47
ENST00000395862	ENSG00000155097	13	30	18	13	9	15
ENST00000395867	ENSG00000198105	1	3	7	4.64858	5.59023	4.79886
ENST00000395868	ENSG00000087494	2.50943	19.65524	31.73957	1.22241	2.94922	55.97288
ENST00000395873	ENSG00000198105	0	1	0	0	0	1
ENST00000395874	ENSG00000198105	3	0	0	0	0	0
ENST00000395878	ENSG00000103353	3.7658	17.1755	10.40664	39.8743	21.23364	10.70389
ENST00000395881	ENSG00000022277	18	34	50	47	64	44
ENST00000395884	ENSG00000155090	3	1	4	3	9	10
ENST00000395893	ENSG00000187607	2	0	0	0	1	0
ENST00000395894	ENSG00000187607	1	3	9	14	19	10
ENST00000395905	ENSG00000163827	0	2	2	0	0	0
ENST00000395907	ENSG00000087586	0.65352	0	0	0	0.05262	0
ENST00000395911	ENSG00000087586	5	6	2.3016	10	13	7
ENST00000395912	ENSG00000048392	0	1	4	2	2	3
ENST00000395913	ENSG00000087586	24	64.99999	14.81747	76.99998	109.99997	96
ENST00000395914	ENSG00000087586	4	17	16	32	39	29
ENST00000395915	ENSG00000087586	3.11099	2e-05	3e-05	0	0	3e-05
ENST00000395927	ENSG00000083307	0	1	0	1	1	0
ENST00000395930	ENSG00000125409	0	0	2	0	0	0
ENST00000395936	ENSG00000109099	0	0	0	2	3	2
ENST00000395938	ENSG00000109099	0	0	0	0	3	4
ENST00000395948	ENSG00000164924	0	0	1	2	0	0
ENST00000395951	ENSG00000164924	1.68503	7.62993	8.97341	48.75935	59.23338	38.79885
ENST00000395952	ENSG00000204427	136	293	204	241	282	258
ENST00000395953	ENSG00000164924	5	15	6	36	27	27
ENST00000395955	ENSG00000019186	0	0	0	5	4	4
ENST00000395956	ENSG00000164924	15	27	23	44	51	62
ENST00000395957	ENSG00000164924	1	6	2	26	23	23
ENST00000395959	ENSG00000233225	0	0	2	0	1	0
ENST00000395961	ENSG00000064787	2	6	3	2	0	1
ENST00000395965	ENSG00000113391	0	2	1	2	3	2
ENST00000395969	ENSG00000006715	0	0	0	0	0	0.41587
ENST00000395981	ENSG00000176697	0	0	0	0	2	0
ENST00000395983	ENSG00000176697	0	1	0	0	0	0
ENST00000395989	ENSG00000020256	0	0	0	0	1	2
ENST00000395995	ENSG00000099250	0	1	0	0	0	0
ENST00000396013	ENSG00000010270	17	70	71	205	218	229
ENST00000396014	ENSG00000197006	43.73452	52.02286	63.42489	130.80425	90.32748	135.79422
ENST00000396020	ENSG00000213741	639	846	1221	535	593	549
ENST00000396024	ENSG00000182718	28	52	59	178	180	212
ENST00000396026	ENSG00000125846	0	1	0.5	1.5	1	1
ENST00000396027	ENSG00000152422	17	34	25	3	3	1
ENST00000396029	ENSG00000101126	0	0	2	1	3	1
ENST00000396033	ENSG00000150093	0	6	6	3	8	10
ENST00000396039	ENSG00000124171	3	3	1	5	4	4
ENST00000396048	ENSG00000186446	2	2.5	5	29	30	12.5
ENST00000396049	ENSG00000114978	52.73597	179.05673	442.80307	587.50594	906.54318	571.27239
ENST00000396051	ENSG00000173542	0	0	0	0	2	3
ENST00000396052	ENSG00000102897	0	0	1	1	0	1
ENST00000396053	ENSG00000173933	13	13	19	58	72	51
ENST00000396056	ENSG00000169981	3	13	4	32	38	31
ENST00000396057	ENSG00000171956	0	0	0	1	4	3
ENST00000396059	ENSG00000244687	98	186	168	255	242	201
ENST00000396060	ENSG00000140307	51.24499	1465.90957	1797.30537	3285.83411	3486.60369	0
ENST00000396061	ENSG00000140307	2	8	3	11	10	13
ENST00000396062	ENSG00000100442	1014.73399	1549.13683	1480.55826	2116.87948	2477.55016	2292
ENST00000396063	ENSG00000140307	4	3	6	10	5	21
ENST00000396064	ENSG00000140307	13	15	14	94	76	124
ENST00000396065	ENSG00000140297	33	91	78	14	22	25
ENST00000396068	ENSG00000011426	0	0	0	3	0	2
ENST00000396070	ENSG00000156482	1307.99932	767.39155	859.16199	1458.32264	2380.36049	1150.60412
ENST00000396076	ENSG00000111716	18	36	37	38	40	47
ENST00000396077	ENSG00000185219	2	0	0	2	2	6
ENST00000396078	ENSG00000179152	45	91	83	201	221	221
ENST00000396081	ENSG00000122557	5	15	6	20	33	33
ENST00000396082	ENSG00000100373	5	4	7	5	2	0
ENST00000396083	ENSG00000066654	14	40	45	127	105	141
ENST00000396091	ENSG00000160746	2	3	2	8	12	7
ENST00000396093	ENSG00000004700	0	1	0	2.19155	0	1
ENST00000396119	ENSG00000241484	0	0	0	1	0	0
ENST00000396124	ENSG00000156170	191	260	336	122	119	131
ENST00000396128	ENSG00000179454	6	9	7	15	12	10
ENST00000396144	ENSG00000165322	0	4	1	1	0	1
ENST00000396147	ENSG00000196724	0	1	0	0	0	1
ENST00000396148	ENSG00000123080	20	19	18.79624	27.09914	26.30073	31.17511
ENST00000396150	ENSG00000083828	1	6	9	39	48	36
ENST00000396153	ENSG00000185104	15	29	34	8	12	10
ENST00000396154	ENSG00000083828	15	45	40	84	99	116
ENST00000396158	ENSG00000150527	0	0	0	0	0	1
ENST00000396161	ENSG00000213762	12	15	20	68	63	96
ENST00000396165	ENSG00000150527	0	0	0	0	0	1
ENST00000396172	ENSG00000198563	628	1043	983	430	451	469
ENST00000396183	ENSG00000168036	0	0	1.4395	3e-05	12.82648	3e-05
ENST00000396185	ENSG00000168036	6	25	11	73	93	84
ENST00000396192	ENSG00000124207	0	4	3	4	5	3
ENST00000396194	ENSG00000164949	1	2.5	6	12	20.5	16.5
ENST00000396196	ENSG00000151116	0	0	0	1	1	4
ENST00000396197	ENSG00000151116	2	14	18	43	51	54
ENST00000396199	ENSG00000132122	0	0	0	0	0	1
ENST00000396203	ENSG00000188846	438	697	803	1931	2130	2220
ENST00000396207	ENSG00000008394	3	14	11	28	30	27
ENST00000396209	ENSG00000008394	131.82708	0.93886	0.81456	0.27272	2.00926	6e-05
ENST00000396210	ENSG00000008394	8298	14415	17448	11621	13303	11890
ENST00000396212	ENSG00000103540	0	0	0	2	0	1
ENST00000396215	ENSG00000166796	0	0	0	59	60	51
ENST00000396222	ENSG00000134333	0	0	0	0	1	0
ENST00000396229	ENSG00000103534	1	1	0	1	1	0
ENST00000396247	ENSG00000160439	9	22	18	20	29	24
ENST00000396249	ENSG00000092208	18	34	37	31	53	44
ENST00000396253	ENSG00000110756	0	1	1	2	2	2
ENST00000396257	ENSG00000106086	0	1	0	2	0	2
ENST00000396259	ENSG00000106086	0	0	1	0	1	2
ENST00000396265	ENSG00000100300	70	129	113	133	139	124
ENST00000396267	ENSG00000184619	23	33	55	67	56	51
ENST00000396268	ENSG00000204536	0	0	0	1	4	1
ENST00000396270	ENSG00000233560	0	0	1	0	0	0
ENST00000396271	ENSG00000107897	5	8	9	8	3	8
ENST00000396276	ENSG00000106066	27	91	91	0	0	0
ENST00000396290	ENSG00000115738	666	757.05185	1099.31749	184.80874	199.3723	146.74087
ENST00000396298	ENSG00000146592	6	13	11	31	28	28
ENST00000396301	ENSG00000134531	0	2	0	1	0	0
ENST00000396302	ENSG00000111305	0	2	1	0	0	0
ENST00000396307	ENSG00000069974	0.05014	0	0	0	0	0
ENST00000396319	ENSG00000106052	11.99999	20.99999	4e-05	156.99987	143	100.33821
ENST00000396330	ENSG00000104497	1	0	2	3	0	0
ENST00000396338	ENSG00000255993	2	0	1	0	0	0
ENST00000396340	ENSG00000111276	0	0	0	0	1	0
ENST00000396344	ENSG00000253293	1	3	4	0	2	0
ENST00000396349	ENSG00000111261	1	7	7	1	1	3
ENST00000396354	ENSG00000072864	0	77.56802	73.11409	61.08427	93.6386	88.39467
ENST00000396359	ENSG00000164687	3	5	5	1	1	3
ENST00000396362	ENSG00000213786	0	0	0	1	1	1
ENST00000396367	ENSG00000121380	0	1	0	1	2	0
ENST00000396373	ENSG00000139083	3	7	7	3	4	7
ENST00000396383	ENSG00000170892	0	0	6	13	8	0
ENST00000396385	ENSG00000156968	2	4	2	0	0	0
ENST00000396386	ENSG00000122565	7e-05	1e-04	1e-04	0.00025	3e-04	314.36708
ENST00000396387	ENSG00000213790	12	7	16	7	9	11
ENST00000396388	ENSG00000170892	831.22106	2.92892	5.37647	4.25655	0.86437	1996.1097
ENST00000396389	ENSG00000196230	0	0	2	1	0	0
ENST00000396391	ENSG00000062598	1	9	2	1	3	1
ENST00000396394	ENSG00000129084	1566	2668	2873	3706	4262	3961
ENST00000396398	ENSG00000198951	18	41	22	67	56	68
ENST00000396401	ENSG00000187735	13	38	31	8	8	10
ENST00000396403	ENSG00000198346	0	1	1	7	7	6
ENST00000396408	ENSG00000196417	0	1	2	18	17	16
ENST00000396410	ENSG00000179889	0	21.26725	11.4747	11.41112	22.95898	51.74799
ENST00000396418	ENSG00000171033	3.70746	2.53091	0	0	0	0
ENST00000396420	ENSG00000085998	0	0	0	0	1	1
ENST00000396424	ENSG00000197497	0	2	0	0	17	11
ENST00000396431	ENSG00000070882	0	0	0	3	1	0
ENST00000396437	ENSG00000100162	0	0.01646	0	0.03967	4	4
ENST00000396439	ENSG00000205810	6	18	17	14	18	7
ENST00000396442	ENSG00000197822	30	68	67	48	30	28
ENST00000396444	ENSG00000138592	0	0	0	0	0	0.1386
ENST00000396445	ENSG00000120549	0	0	0	2	0	1
ENST00000396448	ENSG00000109180	0	0	0	0	1	0
ENST00000396463	ENSG00000141499	203.9164	354.85247	229.75025	205	233.08005	219.95412
ENST00000396464	ENSG00000104064	50	90	89	112	102	130
ENST00000396465	ENSG00000147604	4	9	17	9	6	8
ENST00000396466	ENSG00000147604	0	0	0	1	0	0
ENST00000396478	ENSG00000197429	6	4	7	9	7	10
ENST00000396496	ENSG00000183323	0	1	2	1	0	0
ENST00000396499	ENSG00000183323	0.27142	0.8038	0.6969	1.74239	0.65719	2.40255
ENST00000396501	ENSG00000129255	135	273.99993	180	157	129	143
ENST00000396503	ENSG00000171490	2	7	3	17	12	22
ENST00000396504	ENSG00000100413	18	30	32	39	36	31
ENST00000396505	ENSG00000050165	1	0	0	0	0	2
ENST00000396509	ENSG00000156958	5	14	9	6	12	11
ENST00000396516	ENSG00000122299	0	0	1	0	0	0.63747
ENST00000396521	ENSG00000107371	100.76542	134.99252	174.21232	369.68628	338.58184	362.81727
ENST00000396525	ENSG00000110321	2	35	52	79	98	114
ENST00000396526	ENSG00000129515	0	0	0.79214	1e-05	0	1e-05
ENST00000396542	ENSG00000161955	2	7	4	4	7	3
ENST00000396545	ENSG00000161955	18	23	19	5	8	6
ENST00000396551	ENSG00000204599	2	0	1	0	2	4
ENST00000396553	ENSG00000133805	2	4	6	6	9	4
ENST00000396556	ENSG00000144645	4	10	6	8	7	2
ENST00000396560	ENSG00000166669	0	0	0	0	1	0
ENST00000396563	ENSG00000185404	0	1	1	0	0	2
ENST00000396568	ENSG00000181284	134.14753	202.65413	145.19377	42.61691	55.12011	56.39995
ENST00000396582	ENSG00000100852	0	0	0	3	1	2
ENST00000396591	ENSG00000145740	5	10	8	19	21	29
ENST00000396592	ENSG00000178460	0	0	0	0	4	0
ENST00000396593	ENSG00000153048	15	24	22	72	78	2.7288
ENST00000396594	ENSG00000159921	0	0	0	1	0	3
ENST00000396596	ENSG00000104205	1	6	6.30926	2.51101	14.70399	17.23856
ENST00000396597	ENSG00000166478	2	0	0	0	0	0
ENST00000396599	ENSG00000213860	15	16	78	18	23	18
ENST00000396602	ENSG00000166478	19	18	13.32665	38	27.86041	37
ENST00000396603	ENSG00000122705	0	0	0	0	9	0
ENST00000396618	ENSG00000100473	0	0	0	0.6172	0	0
ENST00000396627	ENSG00000170291	11	30	22	2	1	3
ENST00000396628	ENSG00000170291	261.5	411	357	66.13521	171.5	107.17137
ENST00000396634	ENSG00000206503	0	1	0	7	6	5
ENST00000396638	ENSG00000137098	0	0	1	0	2	1
ENST00000396648	ENSG00000166452	0	71.33555	0	0	0	0
